Week_Start,Bull_Bear,High_Day,Low_Day
2014-11-04,Bullish,Monday,Tuesday
2014-11-11,Bullish,Thursday,Thursday
2014-11-18,Bullish,Friday,Wednesday
2014-11-25,Bearish,Friday,Monday
2014-12-02,Bullish,Friday,Tuesday
2014-12-09,Bearish,Tuesday,Monday
2014-12-16,Bullish,Monday,Tuesday
2014-12-23,Bullish,Monday,Tuesday
2014-12-30,Bearish,Tuesday,Monday
2015-01-06,Bullish,Friday,Tuesday
2015-01-13,Bearish,Tuesday,Friday
2015-01-20,Bullish,Thursday,Tuesday
2015-01-27,Bearish,Tuesday,Monday
2015-02-03,Bullish,Friday,Tuesday
2015-02-10,Bullish,Friday,Tuesday
2015-02-17,Bullish,Friday,Friday
2015-02-24,Bullish,Wednesday,Friday
2015-03-03,Bearish,Tuesday,Friday
2015-03-10,Bullish,Monday,Wednesday
2015-03-17,Bullish,Monday,Wednesday
2015-03-24,Bearish,Tuesday,Thursday
2015-03-31,Bearish,Monday,Wednesday
2015-04-07,Bullish,Monday,Wednesday
2015-04-14,Bullish,Wednesday,Friday
2015-04-21,Bullish,Monday,Wednesday
2015-04-28,Bullish,Monday,Thursday
2015-05-05,Bearish,Monday,Wednesday
2015-05-12,Bullish,Monday,Tuesday
2015-05-19,Bearish,Wednesday,Wednesday
2015-05-26,Bearish,Wednesday,Tuesday
2015-06-02,Bearish,Wednesday,Monday
2015-06-09,Bullish,Thursday,Tuesday
2015-06-16,Bullish,Monday,Tuesday
2015-06-23,Bearish,Tuesday,Monday
2015-06-30,Bullish,Thursday,Tuesday
2015-07-07,Bullish,Monday,Tuesday
2015-07-14,Bullish,Monday,Tuesday
2015-07-21,Bearish,Tuesday,Monday
2015-07-28,Bullish,Friday,Tuesday
2015-08-04,Bullish,Wednesday,Friday
2015-08-11,Bearish,Monday,Wednesday
2015-08-18,Bearish,Tuesday,Monday
2015-08-25,Bullish,Friday,Tuesday
2015-09-01,Bearish,Thursday,Tuesday
2015-09-08,Bullish,Wednesday,Tuesday
2015-09-15,Bullish,Thursday,Friday
2015-09-22,Bearish,Tuesday,Monday
2015-09-29,Bullish,Monday,Tuesday
2015-10-06,Bullish,Friday,Tuesday
2015-10-13,Bullish,Monday,Monday
2015-10-20,Bullish,Friday,Wednesday
2015-10-27,Bullish,Monday,Tuesday
2015-11-03,Bearish,Tuesday,Monday
2015-11-10,Bearish,Wednesday,Monday
2015-11-17,Bullish,Friday,Tuesday
2015-11-24,Bearish,Tuesday,Tuesday
2015-12-01,Bearish,Wednesday,Thursday
2015-12-08,Bearish,Wednesday,Monday
2015-12-15,Bearish,Wednesday,Friday
2015-12-22,Bullish,Thursday,Tuesday
2015-12-29,Bearish,Tuesday,Monday
2016-01-05,Bearish,Tuesday,Monday
2016-01-12,Bearish,Wednesday,Friday
2016-01-19,Bearish,Friday,Wednesday
2016-01-26,Bullish,Monday,Wednesday
2016-02-02,Bearish,Tuesday,Monday
2016-02-09,Bullish,Wednesday,Thursday
2016-02-16,Bullish,Monday,Tuesday
2016-02-23,Bearish,Friday,Wednesday
2016-03-01,Bullish,Friday,Tuesday
2016-03-08,Bullish,Monday,Thursday
2016-03-15,Bullish,Monday,Tuesday
2016-03-22,Bearish,Tuesday,Thursday
2016-03-29,Bullish,Friday,Tuesday
2016-04-05,Bearish,Wednesday,Thursday
2016-04-12,Bullish,Monday,Tuesday
2016-04-19,Bearish,Wednesday,Monday
2016-04-26,Bearish,Wednesday,Friday
2016-05-03,Bearish,Tuesday,Friday
2016-05-10,Bullish,Tuesday,Friday
2016-05-17,Bearish,Tuesday,Thursday
2016-05-24,Bullish,Friday,Tuesday
